Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
MIR4747	hsa-mir-4747		ENSG00000263409
MIR4748	hsa-mir-4748		ENSG00000265879
MIR4749	hsa-mir-4749		ENSG00000265954
MIR4750	hsa-mir-4750		ENSG00000284394
MIR4751	hsa-mir-4751		ENSG00000283842
MIR4752	hsa-mir-4752		ENSG00000264703
MIR4753	hsa-mir-4753		ENSG00000263439
MIR4754	hsa-mir-4754		ENSG00000266640
MIR4755	hsa-mir-4755		ENSG00000264616
MIR4756	hsa-mir-4756		ENSG00000265595
MIR4757	hsa-mir-4757		ENSG00000266738
MIR4758	hsa-mir-4758		ENSG00000284074
MIR4759	hsa-mir-4759		ENSG00000266133
MIR4760	hsa-mir-4760		ENSG00000263973
MIR4761	hsa-mir-4761		ENSG00000284031
MIR4762	hsa-mir-4762		ENSG00000264160
MIR4763	hsa-mir-4763		ENSG00000284175
MIR4764	hsa-mir-4764		ENSG00000266012
MIR4765	hsa-mir-4765		ENSG00000265057
MIR4766	hsa-mir-4766		ENSG00000266594
MIR4767	hsa-mir-4767		ENSG00000264268
MIR4768	hsa-mir-4768		ENSG00000265465
MIR4769	hsa-mir-4769		ENSG00000263858
MIR4770	hsa-mir-4770		ENSG00000265284
MIR4771-1	hsa-mir-4771-1		ENSG00000264793
MIR4771-2	hsa-mir-4771-2		ENSG00000266063
MIR4772	hsa-mir-4772		ENSG00000264764
MIR4773-1	hsa-mir-4773-1		ENSG00000264684
MIR4773-2	hsa-mir-4773-2		ENSG00000283569
MIR4774	hsa-mir-4774		ENSG00000265694
MIR4775	hsa-mir-4775		ENSG00000284079
MIR4776-1	hsa-mir-4776-1		ENSG00000266354
MIR4776-2	hsa-mir-4776-2		ENSG00000283637
MIR4777	hsa-mir-4777		ENSG00000263641
MIR4778	hsa-mir-4778		ENSG00000264525
MIR4779	hsa-mir-4779		ENSG00000265420
MIR4780	hsa-mir-4780		ENSG00000265003
MIR4781	hsa-mir-4781		ENSG00000283749
MIR4782	hsa-mir-4782		ENSG00000265429
MIR4783	hsa-mir-4783		ENSG00000264075
MIR4784	hsa-mir-4784		ENSG00000284149
MIR4785	hsa-mir-4785		ENSG00000283734
MIR4786	hsa-mir-4786		ENSG00000264279
MIR4787	hsa-mir-4787		ENSG00000272543
MIR4788	hsa-mir-4788
MIR4789	hsa-mir-4789		ENSG00000264974
MIR4790	hsa-mir-4790		ENSG00000265180
MIR4791	hsa-mir-4791		ENSG00000271898
MIR4792	hsa-mir-4792
MIR4792	miR-4792
MIR4793	hsa-mir-4793		ENSG00000284575
MIR4794	hsa-mir-4794		ENSG00000264470
MIR4795	hsa-mir-4795		ENSG00000264119
MIR4796	hsa-mir-4796		ENSG00000264623
MIR4797	hsa-mir-4797		ENSG00000265850
MIR4798	hsa-mir-4798		ENSG00000264658
MIR4799	hsa-mir-4799		ENSG00000264274
MIR4800	hsa-mir-4800		ENSG00000284276
MIR4801	hsa-mir-4801		ENSG00000264319
MIR4802	hsa-mir-4802		ENSG00000263642
MIR4803	hsa-mir-4803		ENSG00000264099
MIR4804	hsa-mir-4804		ENSG00000263593
MIR4999	hsa-mir-4999		ENSG00000265390
MIR5000	hsa-mir-5000		ENSG00000263909
MIR5001	hsa-mir-5001		ENSG00000284407
MIR5002	hsa-mir-5002		ENSG00000266383
MIR5003	hsa-mir-5003		ENSG00000265160
MIR5004	hsa-mir-5004		ENSG00000284256
MIR5006	hsa-mir-5006		ENSG00000284584
MIR5007	hsa-mir-5007		ENSG00000264387
MIR5008	hsa-mir-5008		ENSG00000264483
MIR5009	hsa-mir-5009		ENSG00000264796
MIR5010	hsa-mir-5010		ENSG00000283929
MIR5011	hsa-mir-5011		ENSG00000263354
MIR5047	hsa-mir-5047		ENSG00000284368
MIR5087	hsa-mir-5087		ENSG00000283676
MIR5088	hsa-mir-5088		ENSG00000274306
MIR5089	hsa-mir-5089		ENSG00000264999
MIR5090	hsa-mir-5090		ENSG00000284176
MIR5091	hsa-mir-5091		ENSG00000266240
MIR5092	hsa-mir-5092		ENSG00000264986
MIR5093	hsa-mir-5093		ENSG00000266307
MIR5094	hsa-mir-5094		ENSG00000264966
MIR5095	hsa-mir-5095
MIR5096	hsa-mir-5096
MIR5100	hsa-mir-5100		ENSG00000263795
MIR5186	hsa-mir-5186		ENSG00000264330
MIR5187	hsa-mir-5187		ENSG00000284035
MIR5188	hsa-mir-5188		ENSG00000265345
MIR5189	hsa-mir-5189		ENSG00000263456
MIR5190	hsa-mir-5190		ENSG00000266146
MIR5191	hsa-mir-5191		ENSG00000264802
MIR5192	hsa-mir-5192		ENSG00000266097
MIR5193	hsa-mir-5193		ENSG00000283726
MIR5194	hsa-mir-5194		ENSG00000264653
MIR5195	hsa-mir-5195		ENSG00000265929
MIR5196	hsa-mir-5196		ENSG00000284034
MIR5197	hsa-mir-5197		ENSG00000266478
MIR5571	hsa-mir-5571		ENSG00000264824
MIR5572	hsa-mir-5572		ENSG00000284059
MIR5579	hsa-mir-5579		ENSG00000266570
MIR5580	hsa-mir-5580		ENSG00000266431
MIR5581	hsa-mir-5581		ENSG00000263675
MIR5582	hsa-mir-5582		ENSG00000263540
MIR5583-1	hsa-mir-5583-1		ENSG00000266148
MIR5583-2	hsa-mir-5583-2		ENSG00000283645
MIR5584	hsa-mir-5584		ENSG00000263381
MIR5585	hsa-mir-5585		ENSG00000266203
MIR5586	hsa-mir-5586		ENSG00000263629
MIR5587	hsa-mir-5587		ENSG00000266124
MIR5588	hsa-mir-5588		ENSG00000264614
MIR5589	hsa-mir-5589		ENSG00000266204
MIR5590	hsa-mir-5590		ENSG00000263783
MIR5591	hsa-mir-5591		ENSG00000264621
MIR5680	hsa-mir-5680		ENSG00000266756
MIR5681A	hsa-mir-5681a		ENSG00000266502
MIR5681B	hsa-mir-5681b		ENSG00000283505
MIR5682	hsa-mir-5682		ENSG00000264477
MIR5683	hsa-mir-5683		ENSG00000283616
MIR5684	hsa-mir-5684		ENSG00000263800
MIR5685	hsa-mir-5685		ENSG00000264056
MIR5686	hsa-mir-5686
MIR5687	hsa-mir-5687		ENSG00000265135
MIR5688	hsa-mir-5688		ENSG00000264084
MIR5689	hsa-mir-5689		ENSG00000263705
MIR5689HG			ENSG00000229401
MIR5690	hsa-mir-5690		ENSG00000265527
MIR5691	hsa-mir-5691		ENSG00000264984
MIR5692A1	hsa-mir-5692a-1		ENSG00000266318
MIR5692A2	hsa-mir-5692a-2		ENSG00000264512
MIR5692B	hsa-mir-5692b		ENSG00000264580
MIR5692C1	hsa-mir-5692c-1		ENSG00000265924
MIR5692C2	hsa-mir-5692c-2		ENSG00000266668
MIR5693	hsa-mir-5693		ENSG00000266072
MIR5694	hsa-mir-5694		ENSG00000265993
MIR5695	hsa-mir-5695		ENSG00000266721
MIR5696	hsa-mir-5696		ENSG00000264857
MIR5697	hsa-mir-5697		ENSG00000265521
MIR5698	hsa-mir-5698		ENSG00000263987
MIR5699	hsa-mir-5699		ENSG00000263511
MIR5700	hsa-mir-5700		ENSG00000266099
MIR5701-1	hsa-mir-5701-1		ENSG00000266545
MIR5701-2	hsa-mir-5701-2		ENSG00000277841
MIR5701-3			ENSG00000264902
MIR5702	hsa-mir-5702		ENSG00000263363
MIR5703	hsa-mir-5703		ENSG00000284092
MIR5704	hsa-mir-5704		ENSG00000265859
MIR5705	hsa-mir-5705		ENSG00000263981
MIR5706	hsa-mir-5706		ENSG00000264536
MIR5707	hsa-mir-5707		ENSG00000265598
MIR5708	hsa-mir-5708		ENSG00000265588
MIR5739	hsa-mir-5739		ENSG00000276162
MIR5787	hsa-mir-5787		ENSG00000275334
MIR6068	hsa-mir-6068		ENSG00000275836
MIR6069	hsa-mir-6069		ENSG00000274280
MIR6070	hsa-mir-6070		ENSG00000278433
MIR6071	hsa-mir-6071		ENSG00000278783
MIR6072	hsa-mir-6072		ENSG00000278069
MIR6073	hsa-mir-6073		ENSG00000284094
MIR6074	hsa-mir-6074		ENSG00000276878
MIR6075	hsa-mir-6075		ENSG00000273742
MIR6076	hsa-mir-6076		ENSG00000278038
MIR6077	hsa-mir-6077-1	MIR6077-2	ENSG00000278596
MIR6077	hsa-mir-6077-1	MIR6077-1	ENSG00000278596
MIR6077	hsa-mir-6077-2	MIR6077-2	ENSG00000278596
MIR6077	hsa-mir-6077-2	MIR6077-1	ENSG00000278596
MIR6078	hsa-mir-6078		ENSG00000274809
MIR6079	hsa-mir-6079		ENSG00000283477
MIR6080	hsa-mir-6080		ENSG00000278581
MIR6081	hsa-mir-6081		ENSG00000274115
MIR6082	hsa-mir-6082		ENSG00000278502
MIR6083	hsa-mir-6083		ENSG00000276656
MIR6084	hsa-mir-6084		ENSG00000284005
MIR6085	hsa-mir-6085		ENSG00000275451
MIR6086	hsa-mir-6086		ENSG00000283493
MIR6087	hsa-mir-6087
MIR6088	hsa-mir-6088		ENSG00000275726
MIR6089	hsa-mir-6089-1	MIR6089-1
MIR6089	hsa-mir-6089-1	MIR6089-2
MIR6090	hsa-mir-6090		ENSG00000276176
MIR6124	hsa-mir-6124		ENSG00000275373
MIR6125	hsa-mir-6125		ENSG00000284360
MIR6126	hsa-mir-6126		ENSG00000273776
MIR6127	hsa-mir-6127		ENSG00000276835
MIR6128	hsa-mir-6128		ENSG00000274770
MIR6129	hsa-mir-6129		ENSG00000273500
MIR6130	hsa-mir-6130		ENSG00000275469
MIR6131	hsa-mir-6131		ENSG00000277073
MIR6132	hsa-mir-6132		ENSG00000283923
MIR6133	hsa-mir-6133		ENSG00000276137
MIR6134	hsa-mir-6134		ENSG00000277569
MIR6165	hsa-mir-6165		ENSG00000277478
MIR6499	hsa-mir-6499		ENSG00000276622
MIR6500	hsa-mir-6500		ENSG00000275816
MIR6501	hsa-mir-6501		ENSG00000284448
MIR6502	hsa-mir-6502		ENSG00000284011
MIR6503	hsa-mir-6503		ENSG00000275344
MIR6504	hsa-mir-6504		ENSG00000275109
MIR6505	hsa-mir-6505		ENSG00000275770
MIR6506	hsa-mir-6506		ENSG00000284184
MIR6507	hsa-mir-6507		ENSG00000274056
MIR6508	hsa-mir-6508		ENSG00000275523
MIR6509	hsa-mir-6509		ENSG00000277138
MIR6510	hsa-mir-6510		ENSG00000283796
MIR6511A1	hsa-mir-6511a-1		ENSG00000275259
MIR6511A2	hsa-mir-6511a-2		ENSG00000278221
MIR6511A3	hsa-mir-6511a-3		ENSG00000276311
MIR6511A4	hsa-mir-6511a-4		ENSG00000273613
MIR6511B1	hsa-mir-6511b-1		ENSG00000284008
MIR6511B2	hsa-mir-6511b-2		ENSG00000283346
MIR6512	hsa-mir-6512		ENSG00000278418
MIR6513	hsa-mir-6513		ENSG00000284173
MIR6514	hsa-mir-6514		ENSG00000274066
MIR6515	hsa-mir-6515		ENSG00000274417
MIR6516	hsa-mir-6516		ENSG00000284250
MIR6529	hsa-mir-6529
MIR6715A	hsa-mir-6715a		ENSG00000276857
MIR6715B	hsa-mir-6715b		ENSG00000283688
MIR6716	hsa-mir-6716		ENSG00000284246
MIR6717	hsa-mir-6717		ENSG00000284122
MIR6718	hsa-mir-6718		ENSG00000275518
MIR6719	hsa-mir-6719		ENSG00000277759
MIR6720	hsa-mir-6720		ENSG00000275859
MIR6721	hsa-mir-6721		ENSG00000284469
MIR6722	hsa-mir-6722		ENSG00000278756
MIR6723	hsa-mir-6723
MIR6724-1			ENSG00000275950
MIR6724-2			ENSG00000274060
MIR6724-3			ENSG00000277379
MIR6724-4			ENSG00000275692
MIR6726	hsa-mir-6726		ENSG00000278073
MIR6727	hsa-mir-6727		ENSG00000283712
MIR6728	hsa-mir-6728		ENSG00000274258
MIR6729	hsa-mir-6729		ENSG00000276869
MIR6730	hsa-mir-6730		ENSG00000276830
MIR6731	hsa-mir-6731		ENSG00000278034
MIR6732	hsa-mir-6732		ENSG00000283724
MIR6733	hsa-mir-6733		ENSG00000284410
MIR6734	hsa-mir-6734		ENSG00000283836
MIR6735	hsa-mir-6735		ENSG00000274975
MIR6736	hsa-mir-6736		ENSG00000278549
MIR6737	hsa-mir-6737		ENSG00000276584
MIR6738	hsa-mir-6738		ENSG00000277817
MIR6739	hsa-mir-6739		ENSG00000277681
MIR6740	hsa-mir-6740		ENSG00000275207
MIR6741	hsa-mir-6741		ENSG00000284519
MIR6742	hsa-mir-6742		ENSG00000284311
MIR6743	hsa-mir-6743		ENSG00000283920
MIR6744	hsa-mir-6744		ENSG00000275669
MIR6745	hsa-mir-6745		ENSG00000275208
MIR6746	hsa-mir-6746		ENSG00000277892
MIR6747	hsa-mir-6747		ENSG00000276102
MIR6748	hsa-mir-6748		ENSG00000284535
MIR6749	hsa-mir-6749		ENSG00000274314
MIR6750	hsa-mir-6750		ENSG00000274986
MIR6751	hsa-mir-6751		ENSG00000284489
MIR6752	hsa-mir-6752		ENSG00000276769
MIR6753	hsa-mir-6753		ENSG00000275022
MIR6754	hsa-mir-6754		ENSG00000278349
MIR6755	hsa-mir-6755		ENSG00000283744
MIR6756	hsa-mir-6756		ENSG00000284148
MIR6757	hsa-mir-6757		ENSG00000278108
MIR6758	hsa-mir-6758		ENSG00000284152
MIR6759	hsa-mir-6759		ENSG00000283621
MIR6760	hsa-mir-6760		ENSG00000273700
MIR6761	hsa-mir-6761		ENSG00000274697
MIR6762	hsa-mir-6762		ENSG00000274822
MIR6763	hsa-mir-6763		ENSG00000277052
MIR6764	hsa-mir-6764		ENSG00000283840
MIR6765	hsa-mir-6765		ENSG00000273778
MIR6766	hsa-mir-6766		ENSG00000275101
MIR6767	hsa-mir-6767		ENSG00000283180
MIR6768	hsa-mir-6768		ENSG00000274805
MIR6769A	hsa-mir-6769a		ENSG00000276641
MIR6769B	hsa-mir-6769b		ENSG00000278465
MIR6770-1	hsa-mir-6770-1		ENSG00000278265
MIR6770-2	hsa-mir-6770-2		ENSG00000277698
MIR6770-3	hsa-mir-6770-3		ENSG00000275391
MIR6771	hsa-mir-6771		ENSG00000274969
MIR6772	hsa-mir-6772		ENSG00000274816
MIR6773	hsa-mir-6773		ENSG00000284259
MIR6774	hsa-mir-6774		ENSG00000274134
MIR6775	hsa-mir-6775		ENSG00000278598
MIR6776	hsa-mir-6776		ENSG00000273606
MIR6777	hsa-mir-6777		ENSG00000274111
MIR6778	hsa-mir-6778		ENSG00000283772
MIR6779	hsa-mir-6779		ENSG00000277057
MIR6780A	hsa-mir-6780a		ENSG00000275273
MIR6780B	hsa-mir-6780b		ENSG00000276770
MIR6781	hsa-mir-6781		ENSG00000278447
MIR6782	hsa-mir-6782		ENSG00000275107
MIR6783	hsa-mir-6783		ENSG00000278223
MIR6784	hsa-mir-6784		ENSG00000277249
MIR6785	hsa-mir-6785		ENSG00000284595
MIR6786	hsa-mir-6786		ENSG00000277784
MIR6787	hsa-mir-6787		ENSG00000284574
MIR6788	hsa-mir-6788		ENSG00000274838
MIR6789	hsa-mir-6789		ENSG00000284129
MIR6790	hsa-mir-6790		ENSG00000273758
MIR6791	hsa-mir-6791		ENSG00000283950
MIR6792	hsa-mir-6792		ENSG00000273657
MIR6793	hsa-mir-6793		ENSG00000275640
MIR6794	hsa-mir-6794		ENSG00000276181
MIR6795	hsa-mir-6795		ENSG00000275711
MIR6796	hsa-mir-6796		ENSG00000275652
MIR6797	hsa-mir-6797		ENSG00000276926
MIR6798	hsa-mir-6798		ENSG00000273898
MIR6799	hsa-mir-6799		ENSG00000276270
MIR6800	hsa-mir-6800		ENSG00000284114
MIR6801	hsa-mir-6801		ENSG00000274380
MIR6802	hsa-mir-6802		ENSG00000278328
MIR6803	hsa-mir-6803		ENSG00000278264
MIR6804	hsa-mir-6804		ENSG00000275519
MIR6805	hsa-mir-6805		ENSG00000284029
MIR6806	hsa-mir-6806		ENSG00000277588
MIR6807	hsa-mir-6807		ENSG00000275924
MIR6808	hsa-mir-6808		ENSG00000284372
MIR6809	hsa-mir-6809		ENSG00000275458
MIR6810	hsa-mir-6810		ENSG00000278524
MIR6811	hsa-mir-6811		ENSG00000277842
MIR6812	hsa-mir-6812		ENSG00000273555
MIR6813	hsa-mir-6813		ENSG00000274034
MIR6814	hsa-mir-6814		ENSG00000275166
MIR6815	hsa-mir-6815		ENSG00000275167
MIR6816	hsa-mir-6816		ENSG00000278278
MIR6817	hsa-mir-6817		ENSG00000277872
MIR6818	hsa-mir-6818		ENSG00000275818
MIR6819	hsa-mir-6819		ENSG00000278420
MIR6820	hsa-mir-6820		ENSG00000284289
MIR6821	hsa-mir-6821		ENSG00000276753
MIR6822	hsa-mir-6822		ENSG00000284158
MIR6823	hsa-mir-6823		ENSG00000278799
MIR6824	hsa-mir-6824		ENSG00000284364
MIR6825	hsa-mir-6825		ENSG00000275067
MIR6826	hsa-mir-6826		ENSG00000278658
MIR6827	hsa-mir-6827
MIR6828	hsa-mir-6828		ENSG00000283474
MIR6829	hsa-mir-6829		ENSG00000276489
MIR6830	hsa-mir-6830		ENSG00000283678
MIR6831	hsa-mir-6831		ENSG00000283717
MIR6832	hsa-mir-6832		ENSG00000274494
MIR6833	hsa-mir-6833		ENSG00000277264
MIR6834	hsa-mir-6834		ENSG00000284064
MIR6835	hsa-mir-6835		ENSG00000276404
MIR6836	hsa-mir-6836		ENSG00000284047
MIR6837	hsa-mir-6837		ENSG00000284067
MIR6838	hsa-mir-6838		ENSG00000283969
MIR6839	hsa-mir-6839		ENSG00000275667
MIR6840	hsa-mir-6840		ENSG00000284012
MIR6841	hsa-mir-6841		ENSG00000283327
MIR6842	hsa-mir-6842		ENSG00000273836
MIR6843	hsa-mir-6843		ENSG00000284280
MIR6844	hsa-mir-6844		ENSG00000284087
MIR6845	hsa-mir-6845		ENSG00000284142
MIR6846	hsa-mir-6846		ENSG00000277888
MIR6847	hsa-mir-6847		ENSG00000284200
MIR6848	hsa-mir-6848		ENSG00000284229
MIR6849	hsa-mir-6849		ENSG00000283770
MIR6850	hsa-mir-6850		ENSG00000283764
MIR6851	hsa-mir-6851		ENSG00000275651
MIR6852	hsa-mir-6852		ENSG00000284195
MIR6853	hsa-mir-6853		ENSG00000273945
MIR6854	hsa-mir-6854		ENSG00000278412
MIR6855	hsa-mir-6855		ENSG00000276124
MIR6856	hsa-mir-6856		ENSG00000277713
MIR6857	hsa-mir-6857		ENSG00000278204
MIR6858	hsa-mir-6858		ENSG00000276350
MIR6859-1	hsa-mir-6859-1		ENSG00000278267
MIR6859-2	hsa-mir-6859-2		ENSG00000273874
MIR6859-3	hsa-mir-6859-3		ENSG00000275449
MIR6859-4			ENSG00000278739
MIR6860	hsa-mir-6860		ENSG00000283326
MIR6861	hsa-mir-6861		ENSG00000283793
MIR6862-1	hsa-mir-6862-1		ENSG00000275429
MIR6862-2	hsa-mir-6862-2		ENSG00000278340
MIR6863	hsa-mir-6863		ENSG00000283471
MIR6864	hsa-mir-6864		ENSG00000274300
MIR6865	hsa-mir-6865		ENSG00000278517
MIR6866	hsa-mir-6866		ENSG00000284144
MIR6867	hsa-mir-6867		ENSG00000274621
MIR6868	hsa-mir-6868		ENSG00000275360
MIR6869	hsa-mir-6869		ENSG00000284436
MIR6870	hsa-mir-6870		ENSG00000273745
MIR6871	hsa-mir-6871		ENSG00000276169
MIR6872	hsa-mir-6872		ENSG00000283848
MIR6873	hsa-mir-6873		ENSG00000284517
MIR6874	hsa-mir-6874		ENSG00000283419
MIR6875	hsa-mir-6875		ENSG00000283821
MIR6876	hsa-mir-6876		ENSG00000274988
MIR6877	hsa-mir-6877		ENSG00000273932
MIR6878	hsa-mir-6878		ENSG00000283933
MIR6879	hsa-mir-6879		ENSG00000278851
MIR6880	hsa-mir-6880		ENSG00000275967
MIR6881	hsa-mir-6881		ENSG00000277391
MIR6882	hsa-mir-6882		ENSG00000275411
MIR6883	hsa-mir-6883		ENSG00000284117
MIR6884	hsa-mir-6884		ENSG00000283721
MIR6885	hsa-mir-6885		ENSG00000274390
MIR6886	hsa-mir-6886		ENSG00000284553
MIR6887	hsa-mir-6887		ENSG00000284065
MIR6888	hsa-mir-6888		ENSG00000275141
MIR6889	hsa-mir-6889		ENSG00000274552
MIR6890	hsa-mir-6890		ENSG00000284488
MIR6891	hsa-mir-6891		ENSG00000277402
MIR6892	hsa-mir-6892		ENSG00000278449
MIR6893	hsa-mir-6893		ENSG00000276598
MIR6894	hsa-mir-6894		ENSG00000277474
MIR6895	hsa-mir-6895		ENSG00000276575
MIR7106	hsa-mir-7106		ENSG00000276908
MIR7107	hsa-mir-7107		ENSG00000284402
MIR7108	hsa-mir-7108		ENSG00000283728
MIR7109	hsa-mir-7109		ENSG00000284082
MIR7110	hsa-mir-7110		ENSG00000284421
MIR7111	hsa-mir-7111		ENSG00000276712
MIR7112	hsa-mir-7112-2	MIR7112-2	ENSG00000284054
MIR7112	hsa-mir-7112-2	MIR7112-1	ENSG00000284054
MIR7112	hsa-mir-7112-1	MIR7112-2	ENSG00000284054
MIR7112	hsa-mir-7112-1	MIR7112-1	ENSG00000284054
MIR7113	hsa-mir-7113		ENSG00000284293
MIR7114	hsa-mir-7114		ENSG00000284317
MIR7150	hsa-mir-7150		ENSG00000274932
MIR7151	hsa-mir-7151		ENSG00000276866
MIR7152	hsa-mir-7152		ENSG00000274824
MIR7153	hsa-mir-7153		ENSG00000283492
MIR7154	hsa-mir-7154		ENSG00000276639
MIR7155	hsa-mir-7155		ENSG00000278359
MIR7156	hsa-mir-7156		ENSG00000276081
MIR7157	hsa-mir-7157		ENSG00000283506
MIR7158	hsa-mir-7158		ENSG00000276733
MIR7159	hsa-mir-7159		ENSG00000276824
MIR7160	hsa-mir-7160		ENSG00000273593
MIR7161	hsa-mir-7161		ENSG00000278571
MIR7162	hsa-mir-7162		ENSG00000284277
MIR7515	hsa-mir-7515		ENSG00000283394
MIR7515HG			ENSG00000236172
MIR7641-1	hsa-mir-7641-1
MIR7641-2	hsa-mir-7641-2
MIR7702	hsa-mir-7702		ENSG00000274263
MIR7703	hsa-mir-7703		ENSG00000283856
MIR7704	hsa-mir-7704		ENSG00000283880
MIR7705	hsa-mir-7705		ENSG00000284570
MIR7706	hsa-mir-7706		ENSG00000284160
MIR7843	hsa-mir-7843		ENSG00000273830
MIR7844	hsa-mir-7844		ENSG00000283818
MIR7845	hsa-mir-7845		ENSG00000277590
MIR7846	hsa-mir-7846		ENSG00000283789
MIR7847	hsa-mir-7847		ENSG00000284594
MIR7848	hsa-mir-7848		ENSG00000276961
MIR7849	hsa-mir-7849		ENSG00000278438
MIR7850	hsa-mir-7850		ENSG00000277904
MIR7851	hsa-mir-7851		ENSG00000278520
MIR7852	hsa-mir-7852		ENSG00000275455
MIR7853	hsa-mir-7853		ENSG00000263572
MIR7854	hsa-mir-7854		ENSG00000277255
MIR7855	hsa-mir-7855		ENSG00000284269
MIR7856	hsa-mir-7856		ENSG00000278281
MIR7973-1	hsa-mir-7973-1		ENSG00000278098
MIR7973-2	hsa-mir-7973-2		ENSG00000283614
MIR7974	hsa-mir-7974		ENSG00000274713
MIR7975	hsa-mir-7975		ENSG00000275863
MIR7976	hsa-mir-7976		ENSG00000276083
MIR7977	hsa-mir-7977		ENSG00000283333
MIR7978	hsa-mir-7978		ENSG00000283281
MIR8052	hsa-mir-8052		ENSG00000274999
MIR8053	hsa-mir-8053		ENSG00000277388
MIR8054	hsa-mir-8054		ENSG00000275868
MIR8055	hsa-mir-8055		ENSG00000276580
MIR8056	hsa-mir-8056		ENSG00000274994
MIR8057	hsa-mir-8057		ENSG00000276221
MIR8058	hsa-mir-8058		ENSG00000277387
MIR8059	hsa-mir-8059		ENSG00000278672
MIR8060	hsa-mir-8060		ENSG00000278103
MIR8061	hsa-mir-8061		ENSG00000277636
MIR8062	hsa-mir-8062		ENSG00000278159
MIR8063	hsa-mir-8063		ENSG00000277202
MIR8064	hsa-mir-8064		ENSG00000275789
MIR8065	hsa-mir-8065		ENSG00000273648
MIR8066	hsa-mir-8066		ENSG00000273882
MIR8067	hsa-mir-8067		ENSG00000277919
MIR8068	hsa-mir-8068		ENSG00000273912
MIR8069		MIR8069-2	ENSG00000278618
MIR8069-1	hsa-mir-8069	MIR8069
MIR8070	hsa-mir-8070		ENSG00000278529
MIR8071-1	hsa-mir-8071-1		ENSG00000274172
MIR8071-2	hsa-mir-8071-2		ENSG00000277030
MIR8072	hsa-mir-8072		ENSG00000284425
MIR8073	hsa-mir-8073		ENSG00000276765
MIR8074	hsa-mir-8074		ENSG00000278617
MIR8075	hsa-mir-8075		ENSG00000277942
MIR8076	hsa-mir-8076		ENSG00000275670
MIR8077	hsa-mir-8077		ENSG00000277533
MIR8078	hsa-mir-8078		ENSG00000277521
MIR8079	hsa-mir-8079		ENSG00000276319
MIR8080	hsa-mir-8080		ENSG00000276917
MIR8081	hsa-mir-8081		ENSG00000277889
MIR8082	hsa-mir-8082		ENSG00000275810
MIR8083	hsa-mir-8083		ENSG00000274940
MIR8084	hsa-mir-8084		ENSG00000277063
MIR8085	hsa-mir-8085		ENSG00000284258
MIR8086	hsa-mir-8086		ENSG00000275036
MIR8087	hsa-mir-8087		ENSG00000278483
MIR8088	hsa-mir-8088		ENSG00000275335
MIR8089	hsa-mir-8089		ENSG00000277912
MIR8485			ENSG00000216191
MIR9500			ENSG00000283639
MIR9718	hsa-mir-9718
MIR9851	hsa-mir-9851
MIR9898	hsa-mir-9898
MIR9899	hsa-mir-9899
MIR9900	hsa-mir-9900
MIR9901	hsa-mir-9901
MIR9902-1	hsa-mir-9902-1
MIR9902-2	hsa-mir-9902-2
MIR9903	hsa-mir-9903
MIR9983	hsa-mir-9983
MIR9985	hsa-mir-9985
MIR9986	hsa-mir-9986
MIR10226	hsa-mir-10226
MIR10392	hsa-mir-10392
MIR10393	hsa-mir-10393
MIR10394	hsa-mir-10394
MIR10396A	hsa-mir-10396a
MIR10396B	hsa-mir-10396b
MIR10397	hsa-mir-10397
MIR10398	hsa-mir-10398
MIR10399	hsa-mir-10399
MIR10400	hsa-mir-10400
MIR10522	hsa-mir-10522
MIR10523	hsa-mir-10523
MIR10524	hsa-mir-10524
MIR10525	hsa-mir-10525
MIR10526	hsa-mir-10526
MIR10527	hsa-mir-10527
MIR11181	hsa-mir-11181
MIR11399	hsa-mir-11399
MIR11400	hsa-mir-11400
MIR11401	hsa-mir-11401
MIR12113	hsa-mir-12113
MIR12114	hsa-mir-12114
MIR12115	hsa-mir-12115
MIR12116	hsa-mir-12116
MIR12117	hsa-mir-12117
MIR12118	hsa-mir-12118
MIR12119	hsa-mir-12119
MIR12120	hsa-mir-12120
MIR12121	hsa-mir-12121
MIR12122	hsa-mir-12122
MIR12123	hsa-mir-12123
MIR12124	hsa-mir-12124
MIR12125	hsa-mir-12125
MIR12126	hsa-mir-12126
MIR12127	hsa-mir-12127
MIR12128	hsa-mir-12128
MIR12129	hsa-mir-12129
MIR12130	hsa-mir-12130
MIR12131	hsa-mir-12131
MIR12132	hsa-mir-12132
MIR12133	hsa-mir-12133
MIR12135	hsa-mir-12135
MIR12136	hsa-mir-12136
MIRLET7A1	hsa-let-7a-1	MIRNLET7A1	ENSG00000199165
MIRLET7A1HG			ENSG00000269929
MIRLET7A2	hsa-let-7a-2	MIRNLET7A2	ENSG00000198975
MIRLET7A3	hsa-let-7a-3	MIRNLET7A3	ENSG00000283990
MIRLET7B	hsa-let-7b	MIRNLET7B	ENSG00000284520
MIRLET7BHG	linc-Ppara	PRR34-AS1	ENSG00000197182
MIRLET7C	hsa-let-7c	MIRNLET7C	ENSG00000199030
MIRLET7D	hsa-let-7d	MIRNLET7D	ENSG00000199133
MIRLET7E	hsa-let-7e	MIRNLET7E	ENSG00000198972
MIRLET7F1	hsa-let-7f-1	MIRNLET7F1	ENSG00000199072
MIRLET7F2	hsa-let-7f-2	MIRNLET7F2	ENSG00000208012
